vid_url,frame,video_timestamp,timer_value,timer_timestamp
https://www.youtube.com/watch?v=UzHtbjtT8hE,3150,0.0:1.0:45.0,144850.0,40:14:10
https://www.youtube.com/watch?v=UzHtbjtT8hE,3180,0.0:1.0:46.0,144849.0,40:14:09
https://www.youtube.com/watch?v=UzHtbjtT8hE,3210,0.0:1.0:47.0,144848.0,40:14:08
https://www.youtube.com/watch?v=UzHtbjtT8hE,3240,0.0:1.0:48.0,144857.0,40:14:17
https://www.youtube.com/watch?v=UzHtbjtT8hE,3270,0.0:1.0:49.0,144856.0,40:14:16
https://www.youtube.com/watch?v=UzHtbjtT8hE,3300,0.0:1.0:50.0,144855.0,40:14:15
https://www.youtube.com/watch?v=UzHtbjtT8hE,3330,0.0:1.0:51.0,144854.0,40:14:14
https://www.youtube.com/watch?v=UzHtbjtT8hE,3360,0.0:1.0:52.0,144853.0,40:14:13
https://www.youtube.com/watch?v=UzHtbjtT8hE,3390,0.0:1.0:53.0,144872.0,40:14:32
https://www.youtube.com/watch?v=UzHtbjtT8hE,3420,0.0:1.0:54.0,144850.0,40:14:10
https://www.youtube.com/watch?v=UzHtbjtT8hE,3450,0.0:1.0:55.0,144849.0,40:14:09
https://www.youtube.com/watch?v=UzHtbjtT8hE,3480,0.0:1.0:56.0,144848.0,40:14:08
https://www.youtube.com/watch?v=UzHtbjtT8hE,3510,0.0:1.0:57.0,144847.0,40:14:07
https://www.youtube.com/watch?v=UzHtbjtT8hE,3540,0.0:1.0:58.0,144846.0,40:14:06
https://www.youtube.com/watch?v=UzHtbjtT8hE,3570,0.0:1.0:59.0,144845.0,40:14:05
https://www.youtube.com/watch?v=UzHtbjtT8hE,3600,0.0:2.0:0.0,144854.0,40:14:14
https://www.youtube.com/watch?v=UzHtbjtT8hE,3630,0.0:2.0:1.0,144853.0,40:14:13
https://www.youtube.com/watch?v=UzHtbjtT8hE,3660,0.0:2.0:2.0,144852.0,40:14:12
https://www.youtube.com/watch?v=UzHtbjtT8hE,3690,0.0:2.0:3.0,144851.0,40:14:11
https://www.youtube.com/watch?v=UzHtbjtT8hE,3720,0.0:2.0:4.0,144850.0,40:14:10
https://www.youtube.com/watch?v=UzHtbjtT8hE,3750,0.0:2.0:5.0,144848.0,40:14:08
https://www.youtube.com/watch?v=UzHtbjtT8hE,3780,0.0:2.0:6.0,144847.0,40:14:07
https://www.youtube.com/watch?v=UzHtbjtT8hE,3810,0.0:2.0:7.0,144846.0,40:14:06
https://www.youtube.com/watch?v=UzHtbjtT8hE,3840,0.0:2.0:8.0,144845.0,40:14:05
https://www.youtube.com/watch?v=UzHtbjtT8hE,3870,0.0:2.0:9.0,144844.0,40:14:04
https://www.youtube.com/watch?v=UzHtbjtT8hE,3900,0.0:2.0:10.0,144843.0,40:14:03
https://www.youtube.com/watch?v=UzHtbjtT8hE,3930,0.0:2.0:11.0,144842.0,40:14:02
https://www.youtube.com/watch?v=UzHtbjtT8hE,3960,0.0:2.0:12.0,144841.0,40:14:01
https://www.youtube.com/watch?v=UzHtbjtT8hE,3990,0.0:2.0:13.0,144840.0,40:14:00
https://www.youtube.com/watch?v=UzHtbjtT8hE,4020,0.0:2.0:14.0,144838.0,40:13:58
https://www.youtube.com/watch?v=UzHtbjtT8hE,4050,0.0:2.0:15.0,144837.0,40:13:57
https://www.youtube.com/watch?v=UzHtbjtT8hE,4080,0.0:2.0:16.0,144836.0,40:13:56
https://www.youtube.com/watch?v=UzHtbjtT8hE,4110,0.0:2.0:17.0,144835.0,40:13:55
https://www.youtube.com/watch?v=UzHtbjtT8hE,4140,0.0:2.0:18.0,144834.0,40:13:54
https://www.youtube.com/watch?v=UzHtbjtT8hE,4170,0.0:2.0:19.0,144833.0,40:13:53
https://www.youtube.com/watch?v=UzHtbjtT8hE,4200,0.0:2.0:20.0,144832.0,40:13:52
https://www.youtube.com/watch?v=UzHtbjtT8hE,4230,0.0:2.0:21.0,144831.0,40:13:51
https://www.youtube.com/watch?v=UzHtbjtT8hE,4260,0.0:2.0:22.0,144830.0,40:13:50
https://www.youtube.com/watch?v=UzHtbjtT8hE,4290,0.0:2.0:23.0,144829.0,40:13:49
https://www.youtube.com/watch?v=UzHtbjtT8hE,4320,0.0:2.0:24.0,144827.0,40:13:47
https://www.youtube.com/watch?v=UzHtbjtT8hE,4350,0.0:2.0:25.0,144826.0,40:13:46
https://www.youtube.com/watch?v=UzHtbjtT8hE,4380,0.0:2.0:26.0,144825.0,40:13:45
https://www.youtube.com/watch?v=UzHtbjtT8hE,4410,0.0:2.0:27.0,144824.0,40:13:44
https://www.youtube.com/watch?v=UzHtbjtT8hE,4440,0.0:2.0:28.0,144823.0,40:13:43
https://www.youtube.com/watch?v=UzHtbjtT8hE,4470,0.0:2.0:29.0,144822.0,40:13:42
https://www.youtube.com/watch?v=UzHtbjtT8hE,4500,0.0:2.0:30.0,144821.0,40:13:41
https://www.youtube.com/watch?v=UzHtbjtT8hE,4530,0.0:2.0:31.0,144820.0,40:13:40
https://www.youtube.com/watch?v=UzHtbjtT8hE,4560,0.0:2.0:32.0,144828.0,40:13:48
https://www.youtube.com/watch?v=UzHtbjtT8hE,4590,0.0:2.0:33.0,144828.0,40:13:48
https://www.youtube.com/watch?v=UzHtbjtT8hE,4620,0.0:2.0:34.0,144826.0,40:13:46
https://www.youtube.com/watch?v=UzHtbjtT8hE,4650,0.0:2.0:35.0,144825.0,40:13:45
https://www.youtube.com/watch?v=UzHtbjtT8hE,4680,0.0:2.0:36.0,144824.0,40:13:44
https://www.youtube.com/watch?v=UzHtbjtT8hE,4710,0.0:2.0:37.0,144823.0,40:13:43
https://www.youtube.com/watch?v=UzHtbjtT8hE,4740,0.0:2.0:38.0,144822.0,40:13:42
https://www.youtube.com/watch?v=UzHtbjtT8hE,4770,0.0:2.0:39.0,144821.0,40:13:41
https://www.youtube.com/watch?v=UzHtbjtT8hE,4800,0.0:2.0:40.0,144820.0,40:13:40
https://www.youtube.com/watch?v=UzHtbjtT8hE,4830,0.0:2.0:41.0,144819.0,40:13:39
https://www.youtube.com/watch?v=UzHtbjtT8hE,4860,0.0:2.0:42.0,144818.0,40:13:38
https://www.youtube.com/watch?v=UzHtbjtT8hE,4890,0.0:2.0:43.0,144816.0,40:13:36
https://www.youtube.com/watch?v=UzHtbjtT8hE,4920,0.0:2.0:44.0,144815.0,40:13:35
https://www.youtube.com/watch?v=UzHtbjtT8hE,4950,0.0:2.0:45.0,144814.0,40:13:34
https://www.youtube.com/watch?v=UzHtbjtT8hE,4980,0.0:2.0:46.0,144813.0,40:13:33
https://www.youtube.com/watch?v=UzHtbjtT8hE,5010,0.0:2.0:47.0,144812.0,40:13:32
https://www.youtube.com/watch?v=UzHtbjtT8hE,5040,0.0:2.0:48.0,144811.0,40:13:31
https://www.youtube.com/watch?v=UzHtbjtT8hE,5070,0.0:2.0:49.0,144810.0,40:13:30
https://www.youtube.com/watch?v=UzHtbjtT8hE,5100,0.0:2.0:50.0,144809.0,40:13:29
https://www.youtube.com/watch?v=UzHtbjtT8hE,5130,0.0:2.0:51.0,144808.0,40:13:28
https://www.youtube.com/watch?v=UzHtbjtT8hE,5160,0.0:2.0:52.0,144807.0,40:13:27
https://www.youtube.com/watch?v=UzHtbjtT8hE,5190,0.0:2.0:53.0,144805.0,40:13:25
https://www.youtube.com/watch?v=UzHtbjtT8hE,5220,0.0:2.0:54.0,144804.0,40:13:24
https://www.youtube.com/watch?v=UzHtbjtT8hE,5250,0.0:2.0:55.0,144803.0,40:13:23
https://www.youtube.com/watch?v=UzHtbjtT8hE,5280,0.0:2.0:56.0,144802.0,40:13:22
https://www.youtube.com/watch?v=UzHtbjtT8hE,5310,0.0:2.0:57.0,144801.0,40:13:21
https://www.youtube.com/watch?v=UzHtbjtT8hE,5340,0.0:2.0:58.0,144800.0,40:13:20
https://www.youtube.com/watch?v=UzHtbjtT8hE,5370,0.0:2.0:59.0,144799.0,40:13:19
https://www.youtube.com/watch?v=UzHtbjtT8hE,5400,0.0:3.0:0.0,144798.0,40:13:18
https://www.youtube.com/watch?v=UzHtbjtT8hE,5430,0.0:3.0:1.0,144797.0,40:13:17
https://www.youtube.com/watch?v=UzHtbjtT8hE,5460,0.0:3.0:2.0,144796.0,40:13:16
https://www.youtube.com/watch?v=UzHtbjtT8hE,5490,0.0:3.0:3.0,144794.0,40:13:14
https://www.youtube.com/watch?v=UzHtbjtT8hE,5520,0.0:3.0:4.0,144793.0,40:13:13
https://www.youtube.com/watch?v=UzHtbjtT8hE,5550,0.0:3.0:5.0,144792.0,40:13:12
https://www.youtube.com/watch?v=UzHtbjtT8hE,5580,0.0:3.0:6.0,144791.0,40:13:11
https://www.youtube.com/watch?v=UzHtbjtT8hE,5610,0.0:3.0:7.0,144790.0,40:13:10
https://www.youtube.com/watch?v=UzHtbjtT8hE,5640,0.0:3.0:8.0,144789.0,40:13:09
https://www.youtube.com/watch?v=UzHtbjtT8hE,5670,0.0:3.0:9.0,144788.0,40:13:08
https://www.youtube.com/watch?v=UzHtbjtT8hE,5700,0.0:3.0:10.0,144787.0,40:13:07
https://www.youtube.com/watch?v=UzHtbjtT8hE,5730,0.0:3.0:11.0,144786.0,40:13:06
